gamma_n,Z,A,C,Z_t
0.10526315789473684,3.210319082738085e-20,0.00997327009697794,0.9900267299030221,1.0
0.1111111111111111,7.339902913185762e-20,0.01104739897301691,0.9889526010269831,1.0
0.11764705882352941,6.306623343633028e-20,0.012304633431180287,0.9876953665688197,1.0
0.1250000000000017,3.8310441487240914e-17,0.013789014102884653,0.9862109858971153,1.0
0.13333333333333333,1.274953240942219e-19,0.015558636782985732,0.9844413632170143,1.0
0.14285714285714285,1.7207960546684282e-19,0.01769138570918738,0.9823086142908126,1.0
